id,distance,adj.depth,depth,m,temp,adj.temp,stress,adj.stress,sector
27,23.37039426,-10,-10,5.6,153.86,153.86,-0.08,-0.08,western
28,117.4939604,-35.7,-35.7,5.1,203.79,203.79,-0.6,-0.6,eastern
29,-34.66031194,-22.5,-22.5,5,753.58,753.58,68.71,68.71,eastern
30,94.12984496,-66.6,-66.6,4.8,979.55,979.55,65.35,65.35,eastern
31,98.64307811,-27.4,-27.4,5.5,167.24,167.24,-0.05,-0.05,eastern
32,58.10264081,-38.1,-38.1,4.6,659.07,659.07,37.04,37.04,eastern
33,259.5282339,-68.71160848,-64.4,7.2,469.51,497.48,60.5,94.37,western
34,115.1192293,-53.1,-53.1,5.5,481.29,481.29,-100,-100,eastern
35,270.0311659,-68.78371882,-67.1,4.8,493.06,509.19,96.95,96.37,eastern
36,52.07078483,-33.4,-33.4,5.6,551.3,551.3,-77.66,-77.66,western
37,93.91900875,-46.7,-46.7,5.1,531.37,531.37,-99.39,-99.39,western
38,71.24602938,-18.6,-18.6,5.5,139.08,139.08,-0.37,-0.37,western
39,83.56122036,-29.5,-29.5,7,220.11,220.11,0.18,0.18,eastern
40,87.55004063,-18.7,-18.7,7,124.33,124.33,0,0,eastern
41,105.7631422,-35.8,-35.8,4.5,219.2,219.2,0.08,0.08,western
42,78.81325747,-26.3,-26.3,4.9,206.23,206.23,-0.18,-0.18,western
43,92.15514089,-28.9,-28.9,5.5,189.06,189.06,-0.26,-0.26,western
44,104.298373,-30.1,-30.1,5.5,188.33,188.33,-0.16,-0.16,western
45,101.9314327,-30,-30,5.3,191.57,191.57,-0.54,-0.54,western
46,272.9406295,-58.77738219,-54.4,5.4,658.68,579.28,-1.01,-0.13,western
47,105.8493722,-34.1,-34.1,6.2,219.2,219.2,0.08,0.08,western
48,112.0818049,-49.2,-49.2,5.5,404.87,404.87,-99.88,-99.88,western
49,103.2037455,-32.3,-32.3,5.1,204.3,204.3,-0.19,-0.19,eastern
50,49.96704299,-16,-16,5.4,170.23,170.23,-0.46,-0.46,eastern
51,100.3131661,-51.6,-51.6,4.5,555.9,555.9,-85.14,-85.14,eastern
52,231.3150147,-67.17977053,-65.1,5.1,425.18,442.47,33.49,64,eastern
