"","tp","ta","lat","long"
"410",79,157,-3.9,-80.71
"411",10,54,-21.49,-68.34
"412",56,107,-20.26,-70.45
"413",56,296,-13.17,-74.52
"414",29,158,-3.05,-80.33
"415",3,278,2.8,-79.81
"416",82,212,-3.9,-80.97
"417",32,39,-1.55,-77.36
"418",56,75,-10.06,-79.73
"419",31,103,-18.91,-69.78
"420",17,49,-1.78,-78.48
"421",43,59,-17.02,-69.85
"422",60,98,-8.33,-79.97
"423",31,190,5.78,-74.17
"424",10,179,5.81,-78.32
"425",39,87,-19.88,-68.74
"426",39,239,-12.77,-76.09
"427",18,78,-2.5,-78.56
"428",63,192,-2.95,-78.64
"429",64,161,-13.49,-76.11
"430",32,43,-1.57,-78.01
"431",5,328,-18.89,-68.02
"432",6,0,-21.39,-67.4
"433",52,107,-16.65,-73.21
"434",56,59,2.5,-78.85
"435",17,54,-10.06,-76.35
"436",37,341,-2.7,-79.91
"437",7,46,-14.52,-70.84
"438",75,90,-4.23,-80.65
"439",21,45,-1.73,-76.74
"440",70,24,-10.59,-74.75
"441",29,148,-8.38,-74.27
"442",6,28,-14.38,-70.67
"443",13,81,-21.39,-68.05
"444",53,21,-21.05,-68.46
"445",28,76,-17.31,-69.28
"446",35,93,-21.85,-68.32
"447",40,100,-18.27,-69.44
"448",68,55,-13.45,-76.79
"449",29,49,-11.6,-77.83
"450",4,118,-8.17,-80.03
"451",13,342,2.45,-76.68
"452",10,245,-4.89,-78.18
"453",0,249,-6.03,-75.7
"454",15,317,5.46,-82.6
"455",62,39,0.15,-77.12
"456",30,74,-19.14,-69.15
"457",7,266,-9.58,-71.24
"458",0,171,5.47,-82.5
"459",32,50,-17.58,-69.98
"460",60,338,-3.65,-79.24
"461",28,34,-18.98,-69.12
"462",61,283,-12.96,-76.75
"463",4,265,-3.98,-79.49
"464",19,70,-15.73,-74.11
"465",59,53,0.42,-79.94
"466",61,89,-15.09,-75.55
"467",10,130,3.94,-82.59
"468",37,204,-15.4,-74.54
"469",16,210,-3.48,-78.44
"470",22,277,-8.9,-71.35
"471",82,124,-3.89,-81.42
"472",53,246,-12.35,-76.93
"473",55,244,-12.9,-76
"474",48,131,-14.16,-76.23
"475",25,63,-17.26,-70.57
"476",24,205,-3.73,-77.83
"477",68,250,-1.77,-78.2
"478",73,219,-3.93,-80.86
"479",72,224,-7.76,-76.81
"480",62,251,-7.77,-76.86
"481",4,251,-15.73,-72.48
"482",67,52,2.28,-78.97
"483",30,63,-16.19,-69.55
"484",1,47,-15.77,-71.89
"485",16,92,-15.06,-73.5
"486",61,245,-13.9,-76.1
"487",8,278,-8.16,-76.13
"488",39,208,-14.86,-75.33
"489",14,74,-9.53,-71.42
"490",69,47,-20.72,-70.37
"491",6,247,-13.82,-72.56
"492",6,80,-15.16,-71.68
"493",7,342,2.03,-77.04
"494",16,261,-9.17,-71.26
"495",13,235,-9.22,-71.25
"496",30,92,-19.2,-69.12
"497",59,70,3.01,-78.64
"498",24,225,-8.84,-79.1
"499",75,274,-5.36,-78.63
"500",76,124,-14.98,-75.47
"501",53,119,-15.1,-75.56
"502",63,111,-15.04,-75.6
"503",37,258,-9.21,-78.91
"504",15,5,-21.46,-67.45
"505",20,193,-9.59,-77.47
"506",10,81,-3.96,-79.38
"507",64,78,0.56,-80.05
"508",24,38,-1.84,-77.5
"509",15,80,-21.15,-70.11
"510",5,137,-19.16,-67.46
"511",21,269,-7.14,-71.71
"512",15,14,-13.38,-71.71
"513",20,98,-7.96,-73.89
"514",13,71,-9.16,-79.05
"515",67,160,-3.92,-81.06
"516",21,83,-18.35,-69.7
"517",84,256,-17.11,-65.67
"518",79,320,-16.89,-65.46
"519",17,316,5.94,-82.61
"520",19,345,5.84,-82.4
"521",10,223,-3.36,-77.47
"522",40,274,-7.79,-75.63
"523",9,315,5.92,-82.67
"524",20,318,5.8,-79.08
"525",14,319,5.74,-78.71
"526",14,303,3.08,-79.3
"527",8,55,-20.03,-68.93
"528",61,244,0.13,-77.67
"529",71,268,0.15,-77.83
"530",26,186,0.1,-77.95
"531",55,67,-20.53,-70.46
"532",7,82,-18.53,-72.15
"533",33,269,-18.22,-72.13
"534",28,240,-18.45,-72.24
"535",59,4,-3.85,-81.44
"536",22,211,-15.64,-74.3
"537",15,48,-21.79,-68.32
"538",67,76,-5.62,-81.39
"539",65,129,-20.19,-70.71
"540",65,26,-20.51,-70.61
"541",68,124,-12.46,-76.73
"542",17,88,-21.37,-68.38
"543",34,33,-14.13,-76.08
"544",26,47,-20.48,-68.74
"545",20,355,-15.23,-69.95
"546",0,137,1.52,-85.3
"547",35,255,-15.48,-74.04
"548",46,58,-17.37,-70.41
"549",0,134,4.86,-82.52
"550",25,84,-19.19,-70.14
"551",63,79,-17.83,-71.08
"552",77,173,-20.15,-70.58
"553",69,101,-14.97,-75.66
"554",7,245,-9.19,-79.07
"555",52,201,-0.96,-78.09
"556",63,190,-1.08,-78.11
"557",61,61,-6.54,-81.07
"558",19,249,-8.22,-78.04
"559",24,79,-18.22,-69.31
"560",24,73,-21.14,-69.69
"561",65,84,-6.98,-80.57
"562",55,262,-9.53,-75.76
"563",9,82,-21.4,-68.26
"564",20,41,-1.44,-77.82
"565",64,242,-10.53,-77.99
"566",0,137,1.31,-84.97
"567",28,67,-20.17,-68.51
"568",37,95,-18.04,-66.96
"569",33,49,-20.93,-69.8
"570",26,76,-18.1,-69.67
"571",11,47,-17.35,-74.21
"572",12,271,-14.28,-73.44
"573",62,77,-5.73,-80.97
"574",66,162,-2.76,-77.65
"575",56,56,-17.32,-72.4
"576",65,125,-17.33,-72.57
"577",52,32,-17.51,-72.49
"578",67,90,-17.46,-72.44
"579",0,229,2.52,-82.99
"580",24,73,-17.54,-69.44
"581",44,80,-17.36,-69.39
"582",41,119,-17.66,-71.71
"583",15,81,-21.88,-70.07
"584",11,62,-7.09,-81.43
"585",19,45,-1.41,-77.87
"586",62,82,4.68,-77.43
"587",22,58,-19.65,-69.05
"588",8,88,-21.32,-68.37
"589",28,76,5.12,-76.59
"590",50,164,-2.83,-77.72
"591",0,136,5.1,-82.6
"592",0,139,5.45,-79.27
"593",2,299,-7.08,-74.67
"594",2,268,2.67,-79.88
"595",61,116,-17.51,-72.61
"596",21,354,2.33,-84.57
"597",11,266,-14.71,-73.92
"598",10,72,-18.35,-72.38
"599",16,78,-20.82,-69.43
"600",5,240,-9.2,-79.04
"601",72,287,-6.66,-75.79
"602",65,239,-13.02,-76.17
"603",15,249,-8.24,-71.41
"604",64,63,1.15,-79.65
"605",20,295,2.53,-79.68
"606",1,203,-4.3,-77.6
"607",28,60,-21.25,-68.1
"608",48,221,-15.78,-73.25
"609",7,88,-7.64,-74.53
"610",43,76,-19.23,-69.44
"611",53,133,-15.91,-74.28
"612",63,86,-6.02,-81.11
"613",9,236,-12.46,-75.08
"614",31,101,-3.18,-80.87
"615",21,113,-3.19,-80.69
"616",16,79,-18.11,-69.3
"617",3,254,-3.42,-76.91
"618",38,88,-16.27,-73.3
"619",19,66,-14.86,-71.48
"620",33,69,-18.17,-69.82
"621",63,222,-6.03,-77.27
"622",62,185,-6.02,-77.16
"623",51,206,-6.11,-77.18
"624",49,119,-17.55,-71.85
"625",42,282,-6.12,-77.24
"626",15,63,-21.72,-68.41
"627",26,74,-19.64,-69.16
"628",0,131,4.71,-82.61
"629",58,145,-4.93,-80.88
"630",64,157,-0.07,-78.53
"631",20,92,-18.81,-69.38
"632",79,123,5.73,-77.69
"633",57,65,5.68,-77.62
"634",0,242,-19.83,-70.09
"635",67,62,-0.12,-80.24
"636",26,103,-19.34,-66.55
"637",11,260,-10.99,-70.78
"638",14,249,-4.01,-77.31
"639",54,124,-15.7,-72.7
"640",55,231,-10.12,-78.69
"641",28,129,4.73,-75.6
"642",79,80,-2.7,-77.79
"643",12,88,-21.68,-68.3
"644",50,159,-9.66,-78.9
"645",63,135,-14.9,-75.69
